Dispersity NSample NRep Accuracy
1 100 10 0.04943682837723311
1 100 20 0.0460733111464761
1 100 40 0.053145437245355316
1 100 80 0.055778440055275824
1 200 10 0.02739069184960467
1 200 20 0.04456105362309109
1 200 40 0.032517062828613545
1 200 80 0.039448542431882075
1 400 10 0.02968690788883207
1 400 20 0.022051077071199954
1 400 40 0.029186295478357643
1 400 80 0.02652232255572653
2 100 10 0.060835844697020525
2 100 20 0.059632206063502294
2 100 40 0.055632162460217204
2 100 80 0.04793159187842608
2 200 10 0.029000000000000015
2 200 20 0.024762623043611518
2 200 40 0.04000605422932885
2 200 80 0.02809797312529856
2 400 10 0.02378155798092294
2 400 20 0.024550967394381847
2 400 40 0.024757495708370825
2 400 80 0.03048371427397752
3 100 10 0.039102429592034305
3 100 20 0.057225431409470395
3 100 40 0.04089544595673216
3 100 80 0.055800985654377105
3 200 10 0.033124764150103764
3 200 20 0.04026785318340177
3 200 40 0.031078278185896986
3 200 80 0.03676992444580216
3 400 10 0.04225591674546891
3 400 20 0.0267777309531633
3 400 40 0.024069479507251502
3 400 80 0.0274965196661323
